編號,學名,中文名,中文別名,英文名,英文別名,科,習性
1113,Bougainvillea spectabilis,簕杜鵑,毛寶巾_賀春紅_葉子花,Brazil Bougainvillea,Beautiful Bongainvillea,NYCTAGINACEAE紫茉莉科,灌木
1126,Kalanchoe blossfeldiana Poelln.,多花伽藍菜,沒資料,NoInfo,NoInfo,CRASSULACEAE景天科,多年生草本
1130,Tradescantia pallida (Rose) D. R. Hunt,紫鴨跖草,沒資料,Purple Heart,NoInfo,COMMELINACEAE鴨跖草科,多年生草本
1164,Elaeocarpus rugosus,毛果杜英,沒資料,Elaeocarpus apiculatus,NoInfo,ELAEOCARPACEAE杜英科,喬木
1165,Aster baccharoides Steetz,白舌紫菀,山白菊,Whitelgulate Aster,NoInfo,ASTERACEAE菊科,草本
1166,Rosa chinensis,月季花,沒資料,China Rose,Bengal Rose,ROSACEAE薔薇科,灌木
1186,Rhaphiolepis indica,車輪梅,石斑木_春花,Hong_Kong_Hawthorn,NoInfo,ROSACEAE薔薇科,灌木
1200,Pentas lanceolata,五星花,沒資料,Pentas,NoInfo,RUBIACEAE茜草科,灌木
1209,Mussaenda pubescens,玉葉金花,沒資料,Splash-of-white,Buddha_s_Lamp,RUBIACEAE茜草科,攀援灌木
1212,Tabebuia rosea,紅花風鈴木(香港沒收錄),洋紅風鈴木,NoInfo,NoInfo,BIGNONIACEAE紫葳科,喬木
1219,Morinda parvifolia,雞眼藤,沒資料,Little-leaved Indian-mulberry,NoInfo,RUBIACEAE茜草科,灌木
1229,Ixora chinensis,龍船花,山丹,Chinese_Ixora,Red_Ixora,RUBIACEAE茜草科,灌木
1233,Gardenia jasminoides,梔子,水橫枝,Cape_Jasmine,NoInfo,RUBIACEAE茜草科,灌木
1261,Brunfelsia calycina,大鴛鴦茉莉,沒資料,Brazil_Raintree,NoInfo,SOLANACEAE茄科,灌木
1263,Solanum torvum,水茄,沒資料,Tetrongan,Wild Tomato,SOLANACEAE茄科,灌木
1277,Dombeya wallichii,吊芙蓉,沒資料,Scarlet_Dombeya,NoInfo,STERCULIACEAE梧桐科,灌木
